Country,Score,Rank,Year,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Internet Use
Tanzania,3.7809998989105225,146,2015,7.450170516967773,0.8077374696731567,52.52743911743164,0.6282151341438293,0.1403827965259552,0.874734103679657,10.0
Madagascar,3.680999994277954,147,2015,7.21423864364624,0.6674381494522095,55.600948333740234,0.49830180406570435,-0.025285150855779648,0.8371158838272095,4.17397219
Central African Republic,3.677999973297119,148,2015,6.81646203994751,0.3873909115791321,41.13923645019531,0.7800177931785583,0.006486155092716217,0.8344988822937012,3.8
Chad,3.6670000553131104,149,2015,7.624094486236572,0.706260621547699,44.142333984375,0.5392531752586365,-0.06271662563085556,0.8822975754737854,3.5
Guinea,3.6559998989105225,150,2015,7.1097612380981445,0.5822253227233887,47.39408493041992,0.6741999387741089,0.06772712618112564,0.7735809683799744,8.2
Burkina Faso,3.5869998931884766,152,2015,7.367134094238281,0.74452143907547,48.51991271972656,0.690965473651886,-0.02003687620162964,0.7626139521598816,7.0
Afghanistan,3.575000047683716,153,2015,7.556314945220947,0.5143542885780334,49.68011474609375,0.5384295582771301,0.16747450828552246,0.8118773698806763,8.26
Rwanda,3.4649999141693115,154,2015,7.25664758682251,0.7117453813552856,54.207401275634766,0.877933144569397,-0.008843508549034595,0.09230756759643555,18.0
Benin,3.3399999141693115,155,2015,7.454632759094238,0.5357385277748108,50.24900817871094,0.7759398221969604,-0.06431891769170761,0.8389189839363098,11.25498791
Burundi,2.9049999713897705,157,2015,6.622704982757568,0.5617325901985168,46.8112678527832,0.4287222623825073,-0.04568857699632645,0.8064472079277039,2.1
Togo,2.8389999866485596,158,2015,7.2155585289001465,0.44605934619903564,48.996299743652344,0.6621285080909729,-0.08437521010637283,0.7958552837371826,7.12
Denmark,7.526000022888184,1,2016,1.441784381866455,1.1637449264526367,0.7950401306152344,0.579412579536438,0.3617095649242401,0.444532185792923,96.96778525
Switzerland,7.508999824523926,2,2016,1.527334213256836,1.1452364921569824,0.8630290627479553,0.5855717658996582,0.28082534670829773,0.41203272342681885,89.13468774
Iceland,7.500999927520752,3,2016,1.4266554117202759,1.18325936794281,0.8673328161239624,0.5662423372268677,0.4767839014530182,0.14974741637706757,98.2400163
Norway,7.498000144958496,4,2016,1.5774401426315308,1.1268956661224365,0.795789361000061,0.5960859060287476,0.3789480924606323,0.35775789618492126,97.29820367
Finland,7.413000106811523,5,2016,1.4059786796569824,1.1346403360366821,0.8109139204025269,0.5710368156433105,0.2549190819263458,0.4100397825241089,87.70364996
Canada,7.4039998054504395,6,2016,1.4401477575302124,1.0960981845855713,0.8276035785675049,0.5737001895904541,0.44834136962890625,0.313291996717453,91.16
Netherlands,7.339000225067139,7,2016,1.4646838903427124,1.0291227102279663,0.8123089671134949,0.5521135926246643,0.4741576313972473,0.29926806688308716,90.4109589
New Zealand,7.334000110626221,8,2016,1.3606619834899902,1.1727817058563232,0.8309572339057922,0.5814732909202576,0.49401095509529114,0.41904377937316895,88.47018635
Australia,7.313000202178955,9,2016,1.44442617893219,1.1047552824020386,0.851203441619873,0.5683658719062805,0.4740689992904663,0.3233065605163574,86.54
Sweden,7.290999889373779,10,2016,1.451810359954834,1.0876401662826538,0.8312124013900757,0.5821848511695862,0.3825379014015198,0.4086659252643585,89.65094761
Israel,7.267000198364258,11,2016,1.3376606702804565,0.9953728318214417,0.8491719365119934,0.3643200099468231,0.3228764832019806,0.0872783288359642,79.65312418
Austria,7.11899995803833,12,2016,1.4503824710845947,1.0838325023651123,0.805645227432251,0.5435519218444824,0.32864707708358765,0.21348357200622559,84.32374257
United States,7.104000091552734,13,2016,1.5079622268676758,1.0478150844573975,0.7789978981018066,0.4816303849220276,0.41076844930648804,0.14868305623531342,85.54442129
Costa Rica,7.086999893188477,14,2016,1.068794846534729,1.0215240716934204,0.7614648342132568,0.5522507429122925,0.22552506625652313,0.10546514391899109,65.88044919
Puerto Rico,7.039000034332275,15,2016,1.3594307899475098,1.0811303853988647,0.7775804400444031,0.468232125043869,0.2220221757888794,0.12275262922048569,68.6438072
Germany,6.99399995803833,16,2016,1.447866678237915,1.09773850440979,0.8148694634437561,0.5346622467041016,0.30452266335487366,0.2855077385902405,84.16520664
Brazil,6.952000141143799,17,2016,1.0875415802001953,1.0393776893615723,0.6141526103019714,0.40425482392311096,0.1577630639076233,0.1416589468717575,60.87254007
Belgium,6.928999900817871,18,2016,1.4253904819488525,1.0524871349334717,0.8195936679840088,0.513537585735321,0.24239933490753174,0.26247578859329224,86.51647666
Ireland,6.9070000648498535,19,2016,1.483413577079773,1.16156804561615,0.8145487308502197,0.5400843024253845,0.44962814450263977,0.29753684997558594,83.5
Luxembourg,6.870999813079834,20,2016,1.6975241899490356,1.0399930477142334,0.8454193472862244,0.5487023591995239,0.2757112383842468,0.3532930612564087,98.13669867
Mexico,6.7779998779296875,21,2016,1.1150808334350586,0.7146037817001343,0.7114341855049133,0.37708643078804016,0.117354616522789,0.1835472285747528,59.540446
Singapore,6.738999843597412,22,2016,1.6455464363098145,0.8675758242607117,0.9471881985664368,0.48769935965538025,0.3270626366138458,0.46986937522888184,84.45226789
United Kingdom,6.724999904632568,23,2016,1.4028302431106567,1.086715817451477,0.8099051713943481,0.5003592371940613,0.5015631914138794,0.27398961782455444,94.77580063
Chile,6.704999923706055,24,2016,1.2166962623596191,0.9058710336685181,0.8188331723213196,0.3778933882713318,0.31595346331596375,0.114507757127285,83.55858602
Panama,6.701000213623047,25,2016,1.1830573081970215,0.9891213178634644,0.7083465456962585,0.4892744719982147,0.24180129170417786,0.08422975242137909,54.0
Argentina,6.650000095367432,26,2016,1.1513652801513672,1.0661243200302124,0.6971127390861511,0.422835111618042,0.10988927632570267,0.07296015322208405,70.96898082
Czech Republic,6.5960001945495605,27,2016,1.309153437614441,1.0079317092895508,0.7637550830841064,0.4141770601272583,0.09928660094738007,0.03985556960105896,76.4811987
United Arab Emirates,6.572999954223633,28,2016,1.5735214948654175,0.8711368441581726,0.7299321889877319,0.5621457099914551,0.2659097909927368,0.3556123971939087,90.60000732
Uruguay,6.545000076293945,29,2016,1.181572675704956,1.0314253568649292,0.72182697057724,0.5438767075538635,0.18055622279644012,0.21393699944019318,66.4
Malta,6.48799991607666,30,2016,1.3078153133392334,1.0987920761108398,0.8031540513038635,0.5499418377876282,0.5623658299446106,0.1755438596010208,78.0751488
Colombia,6.480999946594238,31,2016,1.0303161144256592,1.0216941833496094,0.5965915322303772,0.4473482370376587,0.15625928342342377,0.053988829255104065,58.13649357
France,6.478000164031982,32,2016,1.3948835134506226,1.0050801038742065,0.8379499316215515,0.46561843156814575,0.12160342931747437,0.17808254063129425,79.26981132
Thailand,6.473999977111816,33,2016,1.0892964601516724,1.04476797580719,0.6491533517837524,0.4955292046070099,0.5869607329368591,0.028332458809018135,47.50496562
Saudi Arabia,6.379000186920166,34,2016,1.489526391029358,0.848290741443634,0.592667281627655,0.37904104590415955,0.1545744091272354,0.3000762462615967,74.87927469
Qatar,6.375,36,2016,1.8242655992507935,0.8796373009681702,0.7172298431396484,0.5667852163314819,0.3238770663738251,0.480493426322937,95.12466217
Spain,6.361000061035156,37,2016,1.3425308465957642,1.1294467449188232,0.8789597153663635,0.3754473030567169,0.1766497790813446,0.0613727942109108,80.56133294
Algeria,6.355000019073486,38,2016,1.0526602268218994,0.8330851197242737,0.6180430054664612,0.2100568413734436,0.0704415887594223,0.16156989336013794,42.94552688
Guatemala,6.323999881744385,39,2016,0.8345445990562439,0.8711899518966675,0.5403863191604614,0.5037861466407776,0.2880834639072418,0.08701452612876892,34.50932609
Suriname,6.269000053405762,40,2016,1.0968588590621948,0.7786626219749451,0.5093337297439575,0.5223419070243835,0.16664867103099823,0.12692143023014069,45.4
Kuwait,6.238999843597412,41,2016,1.6171413660049438,0.8775829672813416,0.6356884837150574,0.4316607713699341,0.15965260565280914,0.23669172823429108,78.36738376
Bahrain,6.2179999351501465,42,2016,1.4402440786361694,0.9439676403999329,0.6569579243659973,0.47375309467315674,0.1714700311422348,0.2577214539051056,97.9999807
Trinidad and Tobago,6.168000221252441,43,2016,1.325716495513916,0.9856855869293213,0.5260809659957886,0.4845285713672638,0.3193477988243103,0.012409157119691372,73.29694122
El Salvador,6.067999839782715,46,2016,0.8736959099769592,0.8097509741783142,0.5960039496421814,0.37268587946891785,0.08877384662628174,0.106125608086586,28.99707305
Malaysia,6.005000114440918,47,2016,1.2514206171035767,0.8802458047866821,0.6236553192138672,0.39030805230140686,0.4147358536720276,0.09081339836120605,78.78830993
Nicaragua,5.992000102996826,48,2016,0.6938384175300598,0.895209550857544,0.6521310210227966,0.46582359075546265,0.29773226380348206,0.1629166454076767,24.57183396
Uzbekistan,5.986999988555908,49,2016,0.7359129786491394,1.1680964231491089,0.5016327500343323,0.6084825396537781,0.34326425194740295,0.28332725167274475,46.79128694
Italy,5.9770002365112305,50,2016,1.3549468517303467,1.0416674613952637,0.8510178923606873,0.18826663494110107,0.16683882474899292,0.025556489825248718,61.32425277
