,Country,Year,Population density (people per sq. km of land area),Score,Rank,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
263,Chad,2020,13.04467837,4.422699928,127.0,7.468,0.6324,48.2205,0.5873,0.0178,0.8028
270,Chile,2015,24.16756239,6.67,27.0,9.9702,0.8588,69.7426,0.735,0.1275,0.762
271,Chile,2016,24.48996412,6.705,24.0,1.2167,0.9059,0.8188,0.3779,0.316,0.1145
272,Chile,2017,24.84147959,6.652,20.0,1.253,1.284,0.819,0.377,0.327,0.082
273,Chile,2018,25.18945519,6.476,25.0,1.131,1.331,0.808,0.431,0.197,0.061
274,Chile,2019,25.48919885,6.444,26.0,1.159,1.369,0.92,0.357,0.187,0.056
275,Chile,2020,25.71000172,6.228499889,39.0,10.0321,0.8797,69.9006,0.7449,-0.0657,0.8382
276,China,2015,145.4921426,5.14,84.0,9.3048,0.7843,68.2254,0.8067,-0.1923,0.9217
277,China,2016,146.282102,5.245,83.0,1.0278,0.7938,0.7356,0.4401,0.0496,0.0275
278,China,2017,147.1022825,5.273,79.0,1.081,1.161,0.741,0.473,0.029,0.023
279,China,2018,147.7744195,5.246,86.0,0.989,1.142,0.799,0.597,0.029,0.103
280,China,2019,148.3033486,5.191,93.0,1.029,1.125,0.893,0.521,0.058,0.1
281,China,2020,148.7698885,5.123899937,94.0,9.6886,0.7988,69.2892,0.8985,-0.1814,0.754
282,Colombia,2015,42.83070482,6.477,33.0,9.3921,0.9073,63.6792,0.8235,-0.0625,0.8847
283,Colombia,2016,43.42050293,6.481,31.0,1.0303,1.0217,0.5966,0.4473,0.1563,0.054
284,Colombia,2017,44.08277963,6.357,36.0,1.071,1.402,0.595,0.477,0.149,0.047
285,Colombia,2018,44.75985219,6.26,37.0,0.96,1.439,0.635,0.531,0.099,0.039
286,Colombia,2019,45.37128707,6.125,43.0,0.985,1.41,0.841,0.47,0.099,0.034
287,Colombia,2020,45.86109419,6.163400173,44.0,9.5004,0.8844,67.6996,0.8362,-0.1612,0.8646
288,Comoros,2015,417.751209,3.956,140.0,7.3087,0.7197,51.8408,0.5337,-0.0747,0.6508
289,Comoros,2016,427.5104782,3.956,138.0,0.2751,0.6032,0.2998,0.1541,0.1827,0.1844
292,Comoros,2019,457.222461,3.973,142.0,0.274,0.757,0.505,0.142,0.275,0.078
293,Comoros,2020,467.2729715,4.288599968,134.0,7.8336,0.6257,57.349,0.5476,0.09,0.7806
306,Costa Rica,2015,94.943302,7.226,12.0,9.5061,0.9063,69.8042,0.9175,0.0276,0.7982
307,Costa Rica,2016,95.95252644,7.087,14.0,1.0688,1.0215,0.7615,0.5523,0.2255,0.1055
308,Costa Rica,2017,96.94388954,7.079,12.0,1.11,1.416,0.76,0.58,0.215,0.1
309,Costa Rica,2018,97.91310223,7.072,13.0,1.01,1.459,0.817,0.632,0.143,0.101
310,Costa Rica,2019,98.85548374,7.167,12.0,1.034,1.441,0.963,0.558,0.144,0.093
311,Costa Rica,2020,99.76721504,7.121399879,15.0,9.6582,0.9015,71.2999,0.9347,-0.1024,0.7863
318,Croatia,2015,74.28174589,5.759,62.0,9.8947,0.7212,67.1945,0.5619,-0.2271,0.9272
319,Croatia,2016,73.76478176,5.488,74.0,1.1865,0.6081,0.7052,0.2391,0.1843,0.04
320,Croatia,2017,72.88444955,5.293,77.0,1.223,0.968,0.701,0.256,0.248,0.043
321,Croatia,2018,72.23613713,5.321,82.0,1.115,1.161,0.737,0.38,0.12,0.039
322,Croatia,2019,71.83694999,5.432,75.0,1.155,1.266,0.914,0.296,0.119,0.022
323,Croatia,2020,71.51793603,5.504700184,79.0,10.0709,0.8746,70.2149,0.7148,-0.1285,0.9165
336,Cyprus,2015,125.6479437,5.689,67.0,10.2797,0.7618,72.0912,0.7022,0.0929,0.8684
337,Cyprus,2016,126.6438312,5.546,69.0,1.3186,0.707,0.8488,0.2951,0.2791,0.0523
338,Cyprus,2017,127.6715368,5.621,65.0,1.356,1.131,0.845,0.355,0.271,0.041
339,Cyprus,2018,128.7080087,5.762,61.0,1.229,1.191,0.909,0.423,0.202,0.035
340,Cyprus,2019,129.7158009,6.046,49.0,1.263,1.223,1.042,0.406,0.19,0.041
341,Cyprus,2020,130.6667749,6.15899992,45.0,10.4057,0.806,73.7022,0.7799,0.0437,0.8563
342,Czech Republic,2015,136.589289,6.505,31.0,10.1904,0.8932,69.2462,0.7562,-0.1605,0.9237
343,Czech Republic,2016,136.8341362,6.596,27.0,1.3092,1.0079,0.7638,0.4142,0.0993,0.0399
344,Czech Republic,2017,137.2158788,6.609,23.0,1.353,1.434,0.754,0.491,0.088,0.037
345,Czech Republic,2018,137.6933679,6.711,21.0,1.233,1.489,0.854,0.543,0.064,0.034
346,Czech Republic,2019,138.236658,6.852,20.0,1.269,1.487,0.92,0.457,0.046,0.036
347,Czech Republic,2020,138.5867358,6.910900116,19.0,10.4042,0.9144,70.0479,0.8185,-0.2309,0.8584
348,Denmark,2015,142.087075,7.527,3.0,10.6395,0.9578,70.3234,0.9324,0.1374,0.2004
349,Denmark,2016,143.20025,7.526,1.0,1.4418,1.1637,0.795,0.5794,0.3617,0.4445
350,Denmark,2017,144.1245,7.522,2.0,1.482,1.551,0.793,0.626,0.355,0.401
351,Denmark,2018,144.8409,7.555,3.0,1.351,1.59,0.868,0.683,0.284,0.408
352,Denmark,2019,145.36055,7.6,2.0,1.383,1.573,0.996,0.592,0.252,0.41
353,Denmark,2020,145.7851,7.645599842,2.0,10.774,0.956,72.4025,0.9514,0.0662,0.1685
354,Djibouti,2015,39.43045729,4.369,126.0,7.9255,0.6356,51.8321,0.7534,-0.0664,0.5209
366,Dominican Republic,2015,212.8270544,4.885,98.0,9.3209,0.8787,62.8655,0.8634,-0.0208,0.7404
367,Dominican Republic,2016,215.2295177,5.155,89.0,1.0279,0.995,0.5767,0.5226,0.2129,0.1237
368,Dominican Republic,2017,217.6176982,5.23,86.0,1.079,1.402,0.575,0.553,0.187,0.114
369,Dominican Republic,2018,219.9782033,5.302,83.0,0.982,1.441,0.614,0.578,0.12,0.106
370,Dominican Republic,2019,222.2926309,5.425,77.0,1.015,1.401,0.779,0.497,0.113,0.101
371,Dominican Republic,2020,224.5477955,5.689199924,68.0,9.6649,0.8821,65.8075,0.8662,-0.1313,0.756
396,Ecuador,2015,65.27630053,5.975,48.0,9.2248,0.8062,67.292,0.7771,-0.1497,0.6794
397,Ecuador,2016,66.40004832,5.976,51.0,0.9731,0.8597,0.6861,0.4027,0.1007,0.1804
398,Ecuador,2017,67.58478016,6.008,44.0,1.001,1.286,0.686,0.455,0.15,0.14
399,Ecuador,2018,68.78868981,5.973,48.0,0.889,1.33,0.736,0.556,0.114,0.12
400,Ecuador,2019,69.95352311,6.028,50.0,0.912,1.312,0.868,0.498,0.126,0.087
401,Ecuador,2020,71.03825093,5.925199986,58.0,9.2461,0.8364,68.5,0.8598,-0.127,0.8012
408,El Salvador,2015,305.2664575,6.13,42.0,8.9198,0.8171,63.1949,0.6991,-0.1604,0.7793
409,El Salvador,2016,306.7633687,6.068,46.0,0.8737,0.8098,0.596,0.3727,0.0888,0.1061
410,El Salvador,2017,308.3071429,6.003,45.0,0.91,1.182,0.596,0.432,0.078,0.09
411,El Salvador,2018,309.8812741,6.167,40.0,0.806,1.231,0.639,0.461,0.065,0.082
412,El Salvador,2019,311.4647683,6.253,35.0,0.794,1.242,0.789,0.43,0.093,0.074
413,El Salvador,2020,313.0405888,6.34829998,34.0,8.9091,0.8061,66.1083,0.8338,-0.1211,0.7543
426,Estonia,2015,30.26011042,5.429,73.0,10.1069,0.9022,66.6727,0.7421,-0.186,0.7254
427,Estonia,2016,30.2689211,5.517,72.0,1.2796,1.0516,0.681,0.4151,0.0842,0.1852
428,Estonia,2017,30.30559006,5.611,66.0,1.321,1.477,0.695,0.479,0.099,0.183
429,Estonia,2018,30.41124914,5.739,63.0,1.2,1.532,0.737,0.553,0.086,0.174
430,Estonia,2019,30.52445365,5.893,55.0,1.237,1.528,0.874,0.495,0.103,0.161
431,Estonia,2020,30.62012882,6.021800041,51.0,10.34,0.9347,68.605,0.8777,-0.1117,0.6231
438,Ethiopia,2015,89.29236835,4.512,122.0,7.1605,0.6406,54.6377,0.7285,0.0127,0.7276
439,Ethiopia,2016,91.74098154,4.508,115.0,0.2928,0.3793,0.3458,0.367,0.2952,0.1717
440,Ethiopia,2017,94.21926014,4.46,119.0,0.339,0.865,0.353,0.409,0.313,0.165
441,Ethiopia,2018,96.71865074,4.35,127.0,0.308,0.95,0.391,0.452,0.22,0.146
442,Ethiopia,2019,99.24615983,4.286,134.0,0.336,1.033,0.532,0.344,0.209,0.1
443,Ethiopia,2020,101.8007113,4.186200142,136.0,7.5094,0.7433,58.6396,0.7408,0.0434,0.7537
486,Finland,2015,18.03011089,7.406,6.0,10.5315,0.94,70.8462,0.9251,0.0003,0.311
487,Finland,2016,18.08200783,7.413,5.0,1.406,1.1346,0.8109,0.571,0.2549,0.41
488,Finland,2017,18.12389445,7.469,5.0,1.444,1.54,0.809,0.618,0.245,0.383
489,Finland,2018,18.14795012,7.632,1.0,1.305,1.592,0.874,0.681,0.192,0.393
490,Finland,2019,18.16795867,7.769,1.0,1.34,1.587,0.986,0.596,0.153,0.393
491,Finland,2020,18.19794354,7.808700085,1.0,10.6393,0.9543,71.9008,0.9492,-0.0595,0.1954
498,France,2015,121.5367021,6.575,29.0,10.4933,0.9158,72.8942,0.8382,-0.1396,0.639
499,France,2016,121.857823,6.478,32.0,1.3949,1.0051,0.8379,0.4656,0.1216,0.1781
500,France,2017,122.2119706,6.442,31.0,1.431,1.388,0.844,0.47,0.13,0.173
501,France,2018,122.5478443,6.489,23.0,1.293,1.466,0.908,0.52,0.098,0.176
502,France,2019,122.8163022,6.592,24.0,1.324,1.472,1.045,0.436,0.111,0.183
503,France,2020,123.076834,6.663799763,23.0,10.5842,0.9371,73.8019,0.8255,-0.1306,0.5835
510,Gabon,2015,7.558854349,3.896,143.0,9.8263,0.7669,54.3909,0.6191,-0.2096,0.7902
511,Gabon,2016,7.792455466,4.121,134.0,1.1585,0.7237,0.3494,0.281,0.0624,0.0931
512,Gabon,2017,8.013396981,4.465,118.0,1.198,1.156,0.357,0.312,0.044,0.076
513,Gabon,2018,8.224764233,4.758,103.0,1.036,1.164,0.404,0.356,0.032,0.052
514,Gabon,2019,8.431629604,4.799,104.0,1.057,1.183,0.571,0.295,0.043,0.055
515,Gabon,2020,8.637901191,4.829299927,108.0,9.6805,0.7879,59.7153,0.7048,-0.2223,0.8492
522,Georgia,2015,65.17505861,4.297,130.0,8.8503,0.5491,65.0702,0.7013,-0.2258,0.3591
523,Georgia,2016,65.21405578,4.252,126.0,0.8379,0.1925,0.6403,0.3246,0.0679,0.3188
